P46527,a,All alpha proteins,a.288,UraD-like,a.288.1,UraD-Like,a.288.1.1,UraD-like,5.86
P37288,f,Membrane and cell surface proteins and peptides,f.17,Transmembrane helix hairpin,f.17.2,Cytochrome c oxidase subunit II-like, transmembrane region,f.17.2.1,Cytochrome c oxidase subunit II-like, transmembrane region,2.27
P37288,f,Membrane and cell surface proteins and peptides,f.1,Toxins' membrane translocation domains,f.1.4,Bcl-2 inhibitors of programmed cell death,f.1.4.1,Bcl-2 inhibitors of programmed cell death,1.43
P37288,f,Membrane and cell surface proteins and peptides,f.13,Class A G protein-coupled receptor (GPCR)-like,f.13.1,Class A G protein-coupled receptor (GPCR)-like,f.13.1.0,automated matches,1.42
P37288,a,All alpha proteins,a.21,HMG-box,a.21.1,HMG-box,a.21.1.0,automated matches,0.41
Q8IUX7,c,Alpha and beta proteins (a/b),c.56,Phosphorylase/hydrolase-like,c.56.5,Zn-dependent exopeptidases,c.56.5.0,automated matches,100
Q8IUX7,c,Alpha and beta proteins (a/b),c.56,Phosphorylase/hydrolase-like,c.56.5,Zn-dependent exopeptidases,c.56.5.1,Pancreatic carboxypeptidases,100
Q8IUX7,c,Alpha and beta proteins (a/b),c.56,Phosphorylase/hydrolase-like,c.56.5,Zn-dependent exopeptidases,c.56.5.7,AstE/AspA-like,99.42
Q8IUX7,b,All beta proteins,b.18,Galactose-binding domain-like,b.18.1,Galactose-binding domain-like,b.18.1.2,Discoidin domain (FA58C, coagulation factor 5/8 C-terminal domain),98.91
Q8IUX7,b,All beta proteins,b.18,Galactose-binding domain-like,b.18.1,Galactose-binding domain-like,b.18.1.0,automated matches,98.68
Q8IUX7,b,All beta proteins,b.18,Galactose-binding domain-like,b.18.1,Galactose-binding domain-like,b.18.1.15,Fucose binding lectin,97.31
Q8IUX7,b,All beta proteins,b.18,Galactose-binding domain-like,b.18.1,Galactose-binding domain-like,b.18.1.9,APC10-like,96.82
Q8IUX7,b,All beta proteins,b.3,Prealbumin-like,b.3.2,Carboxypeptidase regulatory domain-like,b.3.2.1,Carboxypeptidase regulatory domain,94.49
Q8IUX7,b,All beta proteins,b.3,Prealbumin-like,b.3.2,Carboxypeptidase regulatory domain-like,b.3.2.2,Pre-dockerin domain,55.27
Q8IUX7,b,All beta proteins,b.3,Prealbumin-like,b.3.7,Hypothetical protein PA1324,b.3.7.1,Hypothetical protein PA1324,48.35
Q8IUX7,b,All beta proteins,b.1,Immunoglobulin-like beta-sandwich,b.1.14,Invasin/intimin cell-adhesion fragments,b.1.14.1,Invasin/intimin cell-adhesion fragments,47.51
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.2,Methylated DNA-protein cysteine methyltransferase, C-terminal domain,a.4.2.1,Methylated DNA-protein cysteine methyltransferase, C-terminal domain,99.91
P16455,c,Alpha and beta proteins (a/b),c.55,Ribonuclease H-like motif,c.55.7,Methylated DNA-protein cysteine methyltransferase domain,c.55.7.1,Methylated DNA-protein cysteine methyltransferase domain,97.58
P16455,a,All alpha proteins,a.39,EF Hand-like,a.39.4,Hypothetical protein MTH865,a.39.4.1,Hypothetical protein MTH865,29.34
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.17,Cell cycle transcription factor e2f-dp,17.28
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.79,MerB N-terminal domain-like,17.04
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.11,Helicase DNA-binding domain,13.49
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.19,Z-DNA binding domain,9.2
P16455,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.13,Sigma3 and sigma4 domains of RNA polymerase sigma factors,a.4.13.2,Sigma4 domain,5.1
Q8NEA9,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.0,automated matches,98.85
Q8NEA9,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.2,Tetramerization domain of potassium channels,98.56
Q8NEA9,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.1,BTB/POZ domain,97.76
Q96LL9,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.3,Chaperone J-domain,a.2.3.0,automated matches,99.15
Q96LL9,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.3,Chaperone J-domain,a.2.3.1,Chaperone J-domain,98.9
O43521,f,Membrane and cell surface proteins and peptides,f.1,Toxins' membrane translocation domains,f.1.4,Bcl-2 inhibitors of programmed cell death,f.1.4.0,automated matches,75.25
O43521,f,Membrane and cell surface proteins and peptides,f.1,Toxins' membrane translocation domains,f.1.4,Bcl-2 inhibitors of programmed cell death,f.1.4.1,Bcl-2 inhibitors of programmed cell death,74.23
O43521,a,All alpha proteins,a.7,Spectrin repeat-like,a.7.12,PhoU-like,a.7.12.1,PhoU-like,10.97
O43521,a,All alpha proteins,a.65,Annexin,a.65.1,Annexin,a.65.1.1,Annexin,8.28
O43521,b,All beta proteins,b.73,Head domain of nucleotide exchange factor GrpE,b.73.1,Head domain of nucleotide exchange factor GrpE,b.73.1.1,Head domain of nucleotide exchange factor GrpE,5.85
O43521,c,Alpha and beta proteins (a/b),c.56,Phosphorylase/hydrolase-like,c.56.5,Zn-dependent exopeptidases,c.56.5.4,Bacterial dinuclear zinc exopeptidases,4.36
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.0,automated matches,99.41
Q9UBJ2,f,Membrane and cell surface proteins and peptides,f.37,ABC transporter transmembrane region,f.37.1,ABC transporter transmembrane region,f.37.1.1,ABC transporter transmembrane region,99.3
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.12,ABC transporter ATPase domain-like,99.29
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.1,Nucleotide and nucleoside kinases,97.07
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.6,Phosphoribulokinase/pantothenate kinase,96.84
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.10,Nitrogenase iron protein-like,96.65
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.11,RecA protein-like (ATPase-domain),96.03
Q9UBJ2,c,Alpha and beta proteins (a/b),c.91,PEP carboxykinase-like,c.91.1,PEP carboxykinase-like,c.91.1.2,HPr kinase HprK C-terminal domain,94.16
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.25,Atu3015-like,91.76
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.24,Type II thymidine kinase,90.43
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.2,Shikimate kinase (AroK),86.06
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.8,G proteins,83.93
Q9UBJ2,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.20,Extended AAA-ATPase domain,82.2
P61812,g,Small proteins,g.17,Cystine-knot cytokines,g.17.1,Cystine-knot cytokines,g.17.1.2,Transforming growth factor (TGF)-beta,99.91
P61812,g,Small proteins,g.17,Cystine-knot cytokines,g.17.1,Cystine-knot cytokines,g.17.1.0,automated matches,99.89
P61812,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.6,omega toxin-like,g.3.6.2,Spider toxins,5.77
P61812,b,All beta proteins,b.124,HesB-like domain,b.124.1,HesB-like domain,b.124.1.0,automated matches,3.22
P61812,d,Alpha and beta proteins (a+b),d.273,YjbQ-like,d.273.1,YjbQ-like,d.273.1.1,YjbQ-like,3.01
P61812,d,Alpha and beta proteins (a+b),d.82,N domain of copper amine oxidase-like,d.82.4,GAS2 domain-like,d.82.4.1,GAS2 domain,2.93
P61812,g,Small proteins,g.9,Defensin-like,g.9.1,Defensin-like,g.9.1.1,Defensin,2.35
P61812,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.17,YuzD-like,1.71
P30291,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.0,automated matches,99.95
P30291,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.7,Protein kinases, catalytic subunit,99.95
P30291,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.6,APH phosphotransferases,97.01
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.4,FMN-linked oxidoreductases,c.1.4.1,FMN-linked oxidoreductases,99.64
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.5,Inosine monophosphate dehydrogenase (IMPDH),c.1.5.0,automated matches,99.09
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.5,Inosine monophosphate dehydrogenase (IMPDH),c.1.5.1,Inosine monophosphate dehydrogenase (IMPDH),99.09
Q12882,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.5,FAD/NAD-linked reductases, N-terminal and central domains,98.7
Q12882,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.7,GidA-like,98.47
Q12882,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.8,HI0933 N-terminal domain-like,98.33
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.31,ThiG-like,c.1.31.0,automated matches,98.25
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.31,ThiG-like,c.1.31.1,ThiG-like,98.22
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.4,FMN-linked oxidoreductases,c.1.4.0,automated matches,98.19
Q12882,c,Alpha and beta proteins (a/b),c.4,Nucleotide-binding domain,c.4.1,Nucleotide-binding domain,c.4.1.1,N-terminal domain of adrenodoxin reductase-like,98.02
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.2,Ribulose-phoshate binding barrel,c.1.2.0,automated matches,97.49
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.2,Ribulose-phoshate binding barrel,c.1.2.4,Tryptophan biosynthesis enzymes,97.45
Q12882,d,Alpha and beta proteins (a+b),d.58,Ferredoxin-like,d.58.1,4Fe-4S ferredoxins,d.58.1.1,Short-chain ferredoxins,97.26
Q12882,d,Alpha and beta proteins (a+b),d.58,Ferredoxin-like,d.58.1,4Fe-4S ferredoxins,d.58.1.2,7-Fe ferredoxin,96.96
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.2,Ribulose-phoshate binding barrel,c.1.2.1,Histidine biosynthesis enzymes,96.74
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.2,Ribulose-phoshate binding barrel,c.1.2.6,PdxS-like,96.64
Q12882,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.10,Aldolase,c.1.10.0,automated matches,96.47
Q12882,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.1,C-terminal domain of adrenodoxin reductase-like,96.29
Q12882,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.2,FAD-linked reductases, N-terminal domain,96.1
Q03135,f,Membrane and cell surface proteins and peptides,f.49,Proton glutamate symport protein,f.49.1,Proton glutamate symport protein,f.49.1.1,Proton glutamate symport protein,2.86
Q03135,a,All alpha proteins,a.91,Regulator of G-protein signaling, RGS,a.91.1,Regulator of G-protein signaling, RGS,a.91.1.0,automated matches,2.11
